n,p,algorithm,mean_colors,std_colors,mean_time_seconds,std_time_seconds,mean_conflicts,valid_rate
50.0,0.1,dsatur,3.8,0.44721359549995787,0.00099355559796088,0.00023846205876157159,0.0,1.0
50.0,0.1,greedy_welsh_powell,4.4,0.5477225575051662,6.554540013894438e-05,1.7864720710205095e-05,0.0,1.0
50.0,0.1,tabu_search,3.8,0.44721359549995787,0.00905203799775332,0.0022223921248456977,0.0,1.0
50.0,0.3,dsatur,7.0,0.0,0.0016860451985848401,0.00037192784523422406,0.0,1.0
50.0,0.3,greedy_welsh_powell,8.0,0.7071067811865476,8.85404035216049e-05,1.300972888018306e-05,0.0,1.0
50.0,0.3,tabu_search,6.8,0.44721359549995804,0.028480751399183622,0.010502877169503797,0.0,1.0
50.0,0.5,dsatur,10.6,0.8944271909999157,0.00216661099984772,0.0007355024947444717,0.0,1.0
50.0,0.5,greedy_welsh_powell,12.0,0.0,0.00017674539994911933,0.00011673962910005763,0.0,1.0
50.0,0.5,tabu_search,10.0,0.0,0.05824817420798349,0.02977165414291447,0.0,1.0
50.0,0.7,dsatur,15.4,1.1401754250991376,0.00319191259914072,0.0010764203899226589,0.0,1.0
50.0,0.7,greedy_welsh_powell,17.4,0.8944271909999157,0.0001461353997001,2.499740885377375e-05,0.0,1.0
50.0,0.7,tabu_search,14.8,0.8366600265340756,0.10108811839891127,0.024036633347448943,0.0,1.0
100.0,0.1,dsatur,5.8,0.44721359549995804,0.0048834405984962,0.00029620516121245025,0.0,1.0
100.0,0.1,greedy_welsh_powell,6.2,0.44721359549995787,0.00012860059796362,1.0608183645207027e-05,0.0,1.0
100.0,0.1,tabu_search,5.8,0.44721359549995804,0.03458423899719486,0.005198508963249628,0.0,1.0
100.0,0.3,dsatur,11.8,0.8366600265340756,0.009299681999254919,0.001711748751973745,0.0,1.0
100.0,0.3,greedy_welsh_powell,13.0,0.0,0.00022081520000932,9.514583533784927e-06,0.0,1.0
100.0,0.3,tabu_search,11.4,0.5477225575051662,0.16254693799710362,0.056654578664341135,0.0,1.0
100.0,0.5,dsatur,18.6,0.5477225575051664,0.0150735956005519,0.001037938923968157,0.0,1.0
100.0,0.5,greedy_welsh_powell,20.0,0.0,0.000409804994706,0.00012804425650770487,0.0,1.0
100.0,0.5,tabu_search,18.2,0.44721359549995815,0.39017784300085623,0.12715216605389495,0.0,1.0
100.0,0.7,dsatur,26.8,1.3038404810405297,0.0196312296000542,0.00027485157298755855,0.0,1.0
100.0,0.7,greedy_welsh_powell,28.6,0.5477225575051662,0.0004906079993815401,2.141832472966237e-05,0.0,1.0
100.0,0.7,tabu_search,26.0,0.7071067811865476,0.9855024361953838,0.5538542753955665,0.0,1.0
