dataset_type,instance,nodes,edges,n,p,repeat,algorithm,colors,time_seconds,conflicts,valid
random_er,ER_n50_p0.7_r4,50,868,50,0.7,4,tabu_search,15,0.11807684300583787,0,True
random_er,ER_n100_p0.1_r0,100,533,100,0.1,0,greedy_welsh_powell,6,0.0002457310038153082,0,True
random_er,ER_n100_p0.1_r0,100,533,100,0.1,0,dsatur,6,0.007727318006800488,0,True
random_er,ER_n100_p0.1_r0,100,533,100,0.1,0,tabu_search,6,0.03923964500427246,0,True
random_er,ER_n100_p0.1_r1,100,553,100,0.1,1,greedy_welsh_powell,7,0.0003158589970553294,0,True
random_er,ER_n100_p0.1_r1,100,553,100,0.1,1,dsatur,6,0.01000216200191062,0,True
random_er,ER_n100_p0.1_r1,100,553,100,0.1,1,tabu_search,6,0.051486587995896116,0,True
random_er,ER_n100_p0.1_r2,100,478,100,0.1,2,greedy_welsh_powell,6,0.0001177910016849637,0,True
random_er,ER_n100_p0.1_r2,100,478,100,0.1,2,dsatur,5,0.004958595003699884,0,True
random_er,ER_n100_p0.1_r2,100,478,100,0.1,2,tabu_search,5,0.04131511499872431,0,True
random_er,ER_n100_p0.1_r3,100,494,100,0.1,3,greedy_welsh_powell,6,0.00014635499974247068,0,True
random_er,ER_n100_p0.1_r3,100,494,100,0.1,3,dsatur,6,0.005347871003323235,0,True
random_er,ER_n100_p0.1_r3,100,494,100,0.1,3,tabu_search,6,0.0358465440076543,0,True
random_er,ER_n100_p0.1_r4,100,503,100,0.1,4,greedy_welsh_powell,6,0.00012234400492161512,0,True
random_er,ER_n100_p0.1_r4,100,503,100,0.1,4,dsatur,6,0.0046075410064077005,0,True
random_er,ER_n100_p0.1_r4,100,503,100,0.1,4,tabu_search,6,0.044789453997509554,0,True
random_er,ER_n100_p0.3_r0,100,1486,100,0.3,0,greedy_welsh_powell,13,0.0005258669989416376,0,True
random_er,ER_n100_p0.3_r0,100,1486,100,0.3,0,dsatur,11,0.009173648999421857,0,True
random_er,ER_n100_p0.3_r0,100,1486,100,0.3,0,tabu_search,11,0.17610291999881156,0,True
random_er,ER_n100_p0.3_r1,100,1567,100,0.3,1,greedy_welsh_powell,13,0.0002583030000096187,0,True
random_er,ER_n100_p0.3_r1,100,1567,100,0.3,1,dsatur,13,0.01267677199211903,0,True
random_er,ER_n100_p0.3_r1,100,1567,100,0.3,1,tabu_search,12,0.25308210799994413,0,True
random_er,ER_n100_p0.3_r2,100,1462,100,0.3,2,greedy_welsh_powell,13,0.00020938500529155135,0,True
random_er,ER_n100_p0.3_r2,100,1462,100,0.3,2,dsatur,12,0.012872470004367642,0,True
random_er,ER_n100_p0.3_r2,100,1462,100,0.3,2,tabu_search,11,0.20701774999906775,0,True
random_er,ER_n100_p0.3_r3,100,1464,100,0.3,3,greedy_welsh_powell,13,0.00021084600302856416,0,True
random_er,ER_n100_p0.3_r3,100,1464,100,0.3,3,dsatur,11,0.009077462993445806,0,True
random_er,ER_n100_p0.3_r3,100,1464,100,0.3,3,tabu_search,11,0.16668401699280366,0,True
random_er,ER_n100_p0.3_r4,100,1501,100,0.3,4,greedy_welsh_powell,13,0.0002544570015743375,0,True
random_er,ER_n100_p0.3_r4,100,1501,100,0.3,4,dsatur,12,0.010539431008510292,0,True
random_er,ER_n100_p0.3_r4,100,1501,100,0.3,4,tabu_search,12,0.1261148510093335,0,True
random_er,ER_n100_p0.5_r0,100,2481,100,0.5,0,greedy_welsh_powell,20,0.0007216070080175996,0,True
random_er,ER_n100_p0.5_r0,100,2481,100,0.5,0,dsatur,19,0.016453685995656997,0,True
random_er,ER_n100_p0.5_r0,100,2481,100,0.5,0,tabu_search,18,0.6377128200110747,0,True
random_er,ER_n100_p0.5_r1,100,2437,100,0.5,1,greedy_welsh_powell,20,0.0004915419995086268,0,True
random_er,ER_n100_p0.5_r1,100,2437,100,0.5,1,dsatur,19,0.015424491997691803,0,True
random_er,ER_n100_p0.5_r1,100,2437,100,0.5,1,tabu_search,18,0.5267297160025919,0,True
random_er,ER_n100_p0.5_r2,100,2550,100,0.5,2,greedy_welsh_powell,20,0.00032643000304233283,0,True
random_er,ER_n100_p0.5_r2,100,2550,100,0.5,2,dsatur,19,0.01439205399947241,0,True
random_er,ER_n100_p0.5_r2,100,2550,100,0.5,2,tabu_search,19,0.2939167019940214,0,True
random_er,ER_n100_p0.5_r3,100,2479,100,0.5,3,greedy_welsh_powell,20,0.0003598440089263022,0,True
random_er,ER_n100_p0.5_r3,100,2479,100,0.5,3,dsatur,18,0.013685559009900317,0,True
random_er,ER_n100_p0.5_r3,100,2479,100,0.5,3,tabu_search,18,0.30816048401175067,0,True
random_er,ER_n100_p0.5_r4,100,2429,100,0.5,4,greedy_welsh_powell,20,0.0003311420005047694,0,True
random_er,ER_n100_p0.5_r4,100,2429,100,0.5,4,dsatur,18,0.014434955999604426,0,True
random_er,ER_n100_p0.5_r4,100,2429,100,0.5,4,tabu_search,18,0.2648880950000603,0,True
random_er,ER_n100_p0.7_r0,100,3457,100,0.7,0,greedy_welsh_powell,28,0.00039035298686940223,0,True
random_er,ER_n100_p0.7_r0,100,3457,100,0.7,0,dsatur,28,0.019531205005478114,0,True
random_er,ER_n100_p0.7_r0,100,3457,100,0.7,0,tabu_search,27,0.9466016859951196,0,True
random_er,ER_n100_p0.7_r1,100,3476,100,0.7,1,greedy_welsh_powell,29,0.0005472729972098023,0,True
random_er,ER_n100_p0.7_r1,100,3476,100,0.7,1,dsatur,28,0.018695350998314098,0,True
random_er,ER_n100_p0.7_r1,100,3476,100,0.7,1,tabu_search,26,1.3614716800075257,0,True
random_er,ER_n100_p0.7_r2,100,3463,100,0.7,2,greedy_welsh_powell,29,0.0004992850008420646,0,True
random_er,ER_n100_p0.7_r2,100,3463,100,0.7,2,dsatur,25,0.01727759100322146,0,True
random_er,ER_n100_p0.7_r2,100,3463,100,0.7,2,tabu_search,25,0.5099999079975532,0,True
random_er,ER_n100_p0.7_r3,100,3507,100,0.7,3,greedy_welsh_powell,29,0.00046494499838445336,0,True
random_er,ER_n100_p0.7_r3,100,3507,100,0.7,3,dsatur,26,0.017068310000468045,0,True
random_er,ER_n100_p0.7_r3,100,3507,100,0.7,3,tabu_search,26,0.5448863109922968,0,True
random_er,ER_n100_p0.7_r4,100,3436,100,0.7,4,greedy_welsh_powell,28,0.00040779799746815115,0,True
random_er,ER_n100_p0.7_r4,100,3436,100,0.7,4,dsatur,27,0.022112282997113653,0,True
random_er,ER_n100_p0.7_r4,100,3436,100,0.7,4,tabu_search,26,0.9551136749942088,0,True
