dataset_type,instance,nodes,edges,n,p,repeat,algorithm,colors,time_seconds,conflicts,valid
random_er,ER_n50_p0.7_r4,50,868,50,0.7,4,tabu_search,15,0.10637745099666063,0,True
random_er,ER_n100_p0.1_r0,100,533,100,0.1,0,greedy_welsh_powell,6,0.0001526340056443587,0,True
random_er,ER_n100_p0.1_r0,100,533,100,0.1,0,dsatur,6,0.00635869600228034,0,True
random_er,ER_n100_p0.1_r0,100,533,100,0.1,0,tabu_search,6,0.038166313999681734,0,True
random_er,ER_n100_p0.1_r1,100,553,100,0.1,1,greedy_welsh_powell,7,0.00015288000577129424,0,True
random_er,ER_n100_p0.1_r1,100,553,100,0.1,1,dsatur,6,0.005472659002407454,0,True
random_er,ER_n100_p0.1_r1,100,553,100,0.1,1,tabu_search,6,0.03775542999210302,0,True
random_er,ER_n100_p0.1_r2,100,478,100,0.1,2,greedy_welsh_powell,6,0.0001437739992979914,0,True
random_er,ER_n100_p0.1_r2,100,478,100,0.1,2,dsatur,5,0.005085134005639702,0,True
random_er,ER_n100_p0.1_r2,100,478,100,0.1,2,tabu_search,5,0.037822654005140066,0,True
random_er,ER_n100_p0.1_r3,100,494,100,0.1,3,greedy_welsh_powell,6,0.00014224099868442863,0,True
random_er,ER_n100_p0.1_r3,100,494,100,0.1,3,dsatur,6,0.005010419001337141,0,True
random_er,ER_n100_p0.1_r3,100,494,100,0.1,3,tabu_search,6,0.03478943200025242,0,True
random_er,ER_n100_p0.1_r4,100,503,100,0.1,4,greedy_welsh_powell,6,0.00014062599802855402,0,True
random_er,ER_n100_p0.1_r4,100,503,100,0.1,4,dsatur,6,0.005048946011811495,0,True
random_er,ER_n100_p0.1_r4,100,503,100,0.1,4,tabu_search,6,0.037955410007270984,0,True
random_er,ER_n100_p0.3_r0,100,1486,100,0.3,0,greedy_welsh_powell,13,0.00025434700364712626,0,True
random_er,ER_n100_p0.3_r0,100,1486,100,0.3,0,dsatur,11,0.0102452570135938,0,True
random_er,ER_n100_p0.3_r0,100,1486,100,0.3,0,tabu_search,11,0.1484520399972098,0,True
random_er,ER_n100_p0.3_r1,100,1567,100,0.3,1,greedy_welsh_powell,13,0.00026672800595406443,0,True
random_er,ER_n100_p0.3_r1,100,1567,100,0.3,1,dsatur,13,0.010332753998227417,0,True
random_er,ER_n100_p0.3_r1,100,1567,100,0.3,1,tabu_search,12,0.2516287890030071,0,True
random_er,ER_n100_p0.3_r2,100,1462,100,0.3,2,greedy_welsh_powell,13,0.0002535130042815581,0,True
random_er,ER_n100_p0.3_r2,100,1462,100,0.3,2,dsatur,12,0.010099043996888213,0,True
random_er,ER_n100_p0.3_r2,100,1462,100,0.3,2,tabu_search,11,0.21810215301229618,0,True
random_er,ER_n100_p0.3_r3,100,1464,100,0.3,3,greedy_welsh_powell,13,0.00031517900060862303,0,True
random_er,ER_n100_p0.3_r3,100,1464,100,0.3,3,dsatur,11,0.010077901999466121,0,True
random_er,ER_n100_p0.3_r3,100,1464,100,0.3,3,tabu_search,11,0.12857661599991843,0,True
random_er,ER_n100_p0.3_r4,100,1501,100,0.3,4,greedy_welsh_powell,13,0.00025640901003498584,0,True
random_er,ER_n100_p0.3_r4,100,1501,100,0.3,4,dsatur,12,0.010509307001484558,0,True
random_er,ER_n100_p0.3_r4,100,1501,100,0.3,4,tabu_search,12,0.11782261700136587,0,True
random_er,ER_n100_p0.5_r0,100,2481,100,0.5,0,greedy_welsh_powell,20,0.0004494739987421781,0,True
random_er,ER_n100_p0.5_r0,100,2481,100,0.5,0,dsatur,19,0.014567838006769307,0,True
random_er,ER_n100_p0.5_r0,100,2481,100,0.5,0,tabu_search,18,0.5443509529868606,0,True
random_er,ER_n100_p0.5_r1,100,2437,100,0.5,1,greedy_welsh_powell,20,0.00041077400965150446,0,True
