n,p,algorithm,mean_colors,std_colors,mean_time_seconds,std_time_seconds,mean_conflicts,valid_rate
50.0,0.1,dsatur,3.8,0.44721359549995787,0.0009752362006110601,3.462966762503404e-05,0.0,1.0
50.0,0.1,greedy_welsh_powell,4.4,0.5477225575051662,6.241000373847782e-05,4.302228441680614e-06,0.0,1.0
50.0,0.1,tabu_search,3.8,0.44721359549995787,0.00926586640125602,0.001893901099184071,0.0,1.0
50.0,0.3,dsatur,7.0,0.0,0.00169716399686872,5.9258263826101015e-05,0.0,1.0
50.0,0.3,greedy_welsh_powell,8.0,0.7071067811865476,9.460680303163767e-05,7.2826155090502475e-06,0.0,1.0
50.0,0.3,tabu_search,6.8,0.44721359549995804,0.02603778019838498,0.006193387218419526,0.0,1.0
50.0,0.5,dsatur,10.6,0.8944271909999157,0.00237373580748676,0.0002121116630380878,0.0,1.0
50.0,0.5,greedy_welsh_powell,12.0,0.0,0.00013815660204265998,2.6223733794128877e-05,0.0,1.0
50.0,0.5,tabu_search,10.0,0.0,0.060076422797283105,0.02766402954508918,0.0,1.0
50.0,0.7,dsatur,15.4,1.1401754250991376,0.0030464858020422597,0.0004941312548788295,0.0,1.0
50.0,0.7,greedy_welsh_powell,17.4,0.8944271909999157,0.00015509340446437998,1.7648084533092943e-05,0.0,1.0
50.0,0.7,tabu_search,14.8,0.8366600265340756,0.09299557640042616,0.021108909694959037,0.0,1.0
100.0,0.1,dsatur,5.8,0.44721359549995804,0.005395170804695181,0.0005697397654476585,0.0,1.0
100.0,0.1,greedy_welsh_powell,6.2,0.44721359549995787,0.00014643100148526,5.881767721208179e-06,0.0,1.0
100.0,0.1,tabu_search,5.8,0.44721359549995804,0.0372978480008896,0.0014109902937588696,0.0,1.0
100.0,0.3,dsatur,11.8,0.8366600265340756,0.010252852801932,0.0001778170305612571,0.0,1.0
100.0,0.3,greedy_welsh_powell,13.0,0.0,0.00026923520490522,2.622248946143903e-05,0.0,1.0
100.0,0.3,tabu_search,11.4,0.5477225575051662,0.17291644300275943,0.05881589652989297,0.0,1.0
100.0,0.5,dsatur,18.6,0.5477225575051664,0.01493294279789548,0.0005223270222056831,0.0,1.0
100.0,0.5,greedy_welsh_powell,20.0,0.0,0.00040928460075515997,3.503797100033656e-05,0.0,1.0
100.0,0.5,tabu_search,18.2,0.44721359549995815,0.38790252739563585,0.12990137090097673,0.0,1.0
100.0,0.7,dsatur,26.8,1.3038404810405297,0.0194030568003654,0.00021879043835500755,0.0,1.0
100.0,0.7,greedy_welsh_powell,28.6,0.5477225575051662,0.00050733200041572,4.161632732809576e-05,0.0,1.0
100.0,0.7,tabu_search,26.0,0.7071067811865476,0.8984078293986386,0.383170168848649,0.0,1.0
200.0,0.1,dsatur,8.6,0.547722557505166,0.030801514201448242,0.0005782629886262756,0.0,1.0
200.0,0.1,greedy_welsh_powell,9.8,0.44721359549995804,0.00042561860173004004,3.05188833975774e-05,0.0,1.0
200.0,0.1,tabu_search,8.6,0.547722557505166,0.2225099981995299,0.01093480996400656,0.0,1.0
200.0,0.3,dsatur,19.2,0.44721359549995815,0.07003190219984386,0.001263345174724365,0.0,1.0
200.0,0.3,greedy_welsh_powell,21.6,0.5477225575051662,0.00085579739825328,3.1199565790988975e-05,0.0,1.0
200.0,0.3,tabu_search,19.2,0.44721359549995815,1.0897604823985603,0.04400796305357824,0.0,1.0
200.0,0.5,dsatur,31.0,1.2247448713915892,0.11437554780568457,0.006911898016537439,0.0,1.0
200.0,0.5,greedy_welsh_powell,33.4,1.3416407864998747,0.00137320620124222,0.00014097756304382413,0.0,1.0
200.0,0.5,tabu_search,31.0,1.2247448713915892,2.714573017600924,0.07285931181978421,0.0,1.0
200.0,0.7,dsatur,46.6,0.5477225575051652,0.15263869080226866,0.004367857012897024,0.0,1.0
200.0,0.7,greedy_welsh_powell,49.8,1.303840481040529,0.00173541099939024,7.839754625923288e-05,0.0,1.0
200.0,0.7,tabu_search,46.6,0.5477225575051652,5.405321979796281,0.3220748163818074,0.0,1.0
