dataset_type,instance,nodes,edges,n,p,repeat,algorithm,colors,time_seconds,conflicts,valid
random_er,ER_n50_p0.7_r4,50,868,50,0.7,4,tabu_search,15,0.10360917200159747,0,True
random_er,ER_n100_p0.1_r0,100,533,100,0.1,0,greedy_welsh_powell,6,0.00013991599553264678,0,True
random_er,ER_n100_p0.1_r0,100,533,100,0.1,0,dsatur,6,0.004511125996941701,0,True
random_er,ER_n100_p0.1_r0,100,533,100,0.1,0,tabu_search,6,0.03343792499799747,0,True
random_er,ER_n100_p0.1_r1,100,553,100,0.1,1,greedy_welsh_powell,7,0.0001266129984287545,0,True
random_er,ER_n100_p0.1_r1,100,553,100,0.1,1,dsatur,6,0.004757849994348362,0,True
random_er,ER_n100_p0.1_r1,100,553,100,0.1,1,tabu_search,6,0.0335291219962528,0,True
random_er,ER_n100_p0.1_r2,100,478,100,0.1,2,greedy_welsh_powell,6,0.00011807199916802347,0,True
random_er,ER_n100_p0.1_r2,100,478,100,0.1,2,dsatur,5,0.004832901002373546,0,True
random_er,ER_n100_p0.1_r2,100,478,100,0.1,2,tabu_search,5,0.043578299999353476,0,True
random_er,ER_n100_p0.1_r3,100,494,100,0.1,3,greedy_welsh_powell,6,0.00011903799895662814,0,True
random_er,ER_n100_p0.1_r3,100,494,100,0.1,3,dsatur,6,0.005009999993490055,0,True
random_er,ER_n100_p0.1_r3,100,494,100,0.1,3,tabu_search,6,0.030263902997830883,0,True
random_er,ER_n100_p0.1_r4,100,503,100,0.1,4,greedy_welsh_powell,6,0.00013936399773228914,0,True
random_er,ER_n100_p0.1_r4,100,503,100,0.1,4,dsatur,6,0.005305326005327515,0,True
random_er,ER_n100_p0.1_r4,100,503,100,0.1,4,tabu_search,6,0.032111944994539954,0,True
random_er,ER_n100_p0.3_r0,100,1486,100,0.3,0,greedy_welsh_powell,13,0.00023611600045114756,0,True
random_er,ER_n100_p0.3_r0,100,1486,100,0.3,0,dsatur,11,0.008143539002048783,0,True
random_er,ER_n100_p0.3_r0,100,1486,100,0.3,0,tabu_search,11,0.14074831700418144,0,True
random_er,ER_n100_p0.3_r1,100,1567,100,0.3,1,greedy_welsh_powell,13,0.0002216970024164766,0,True
random_er,ER_n100_p0.3_r1,100,1567,100,0.3,1,dsatur,13,0.008806001002085395,0,True
random_er,ER_n100_p0.3_r1,100,1567,100,0.3,1,tabu_search,12,0.2388292370014824,0,True
random_er,ER_n100_p0.3_r2,100,1462,100,0.3,2,greedy_welsh_powell,13,0.00021027600450906903,0,True
random_er,ER_n100_p0.3_r2,100,1462,100,0.3,2,dsatur,12,0.012330394994933158,0,True
random_er,ER_n100_p0.3_r2,100,1462,100,0.3,2,tabu_search,11,0.20473735299310647,0,True
random_er,ER_n100_p0.3_r3,100,1464,100,0.3,3,greedy_welsh_powell,13,0.0002176629932364449,0,True
