dataset_type,family,instance,repeat,seed,nodes,edges,parameters,density,avg_degree,max_degree,degeneracy,clustering,algorithm,colors,time_seconds,conflicts,valid
synthetic,erdos_renyi,ER_n60_p0.1_r2,2,600102,60,178,n=60;p=0.1,0.10056497175141244,5.933333333333334,12,4,0.10275132275132276,structure_aware_hybrid,4,0.0016595360066276044,0,True
synthetic,erdos_renyi,ER_n60_p0.1_r3,3,600103,60,189,n=60;p=0.1,0.10677966101694915,6.3,11,4,0.09921115921115921,greedy_welsh_powell,5,9.184399095829576e-05,0,True
synthetic,erdos_renyi,ER_n60_p0.1_r3,3,600103,60,189,n=60;p=0.1,0.10677966101694915,6.3,11,4,0.09921115921115921,dsatur,4,0.001672593003604561,0,True
synthetic,erdos_renyi,ER_n60_p0.1_r3,3,600103,60,189,n=60;p=0.1,0.10677966101694915,6.3,11,4,0.09921115921115921,tabu_search,4,0.01410842601035256,0,True
synthetic,erdos_renyi,ER_n60_p0.1_r3,3,600103,60,189,n=60;p=0.1,0.10677966101694915,6.3,11,4,0.09921115921115921,structure_aware_hybrid,4,0.001842119003413245,0,True
synthetic,erdos_renyi,ER_n60_p0.2_r0,0,600200,60,367,n=60;p=0.2,0.20734463276836157,12.233333333333333,20,9,0.20487260217136377,greedy_welsh_powell,7,9.356699592899531e-05,0,True
synthetic,erdos_renyi,ER_n60_p0.2_r0,0,600200,60,367,n=60;p=0.2,0.20734463276836157,12.233333333333333,20,9,0.20487260217136377,dsatur,6,0.001980925997486338,0,True
synthetic,erdos_renyi,ER_n60_p0.2_r0,0,600200,60,367,n=60;p=0.2,0.20734463276836157,12.233333333333333,20,9,0.20487260217136377,tabu_search,6,0.023086367989890277,0,True
synthetic,erdos_renyi,ER_n60_p0.2_r0,0,600200,60,367,n=60;p=0.2,0.20734463276836157,12.233333333333333,20,9,0.20487260217136377,structure_aware_hybrid,6,0.025245836994145066,0,True
synthetic,erdos_renyi,ER_n60_p0.2_r1,1,600201,60,360,n=60;p=0.2,0.2033898305084746,12.0,19,8,0.22730443303972717,greedy_welsh_powell,8,9.454399696551263e-05,0,True
synthetic,erdos_renyi,ER_n60_p0.2_r1,1,600201,60,360,n=60;p=0.2,0.2033898305084746,12.0,19,8,0.22730443303972717,dsatur,7,0.002107365013216622,0,True
synthetic,erdos_renyi,ER_n60_p0.2_r1,1,600201,60,360,n=60;p=0.2,0.2033898305084746,12.0,19,8,0.22730443303972717,tabu_search,6,0.03820115800772328,0,True
synthetic,erdos_renyi,ER_n60_p0.2_r1,1,600201,60,360,n=60;p=0.2,0.2033898305084746,12.0,19,8,0.22730443303972717,structure_aware_hybrid,6,0.03723180999804754,0,True
synthetic,erdos_renyi,ER_n60_p0.2_r2,2,600202,60,365,n=60;p=0.2,0.2062146892655367,12.166666666666666,18,8,0.21031176612058963,greedy_welsh_powell,7,0.00010429300891701132,0,True
synthetic,erdos_renyi,ER_n60_p0.2_r2,2,600202,60,365,n=60;p=0.2,0.2062146892655367,12.166666666666666,18,8,0.21031176612058963,dsatur,7,0.0019941670034313574,0,True
synthetic,erdos_renyi,ER_n60_p0.2_r2,2,600202,60,365,n=60;p=0.2,0.2062146892655367,12.166666666666666,18,8,0.21031176612058963,tabu_search,6,0.035076012994977646,0,True
synthetic,erdos_renyi,ER_n60_p0.2_r2,2,600202,60,365,n=60;p=0.2,0.2062146892655367,12.166666666666666,18,8,0.21031176612058963,structure_aware_hybrid,6,0.03507754699967336,0,True
synthetic,erdos_renyi,ER_n60_p0.2_r3,3,600203,60,353,n=60;p=0.2,0.19943502824858758,11.766666666666667,19,8,0.201043589193744,greedy_welsh_powell,7,0.00010096500045619905,0,True
synthetic,erdos_renyi,ER_n60_p0.2_r3,3,600203,60,353,n=60;p=0.2,0.19943502824858758,11.766666666666667,19,8,0.201043589193744,dsatur,6,0.002107941996655427,0,True
synthetic,erdos_renyi,ER_n60_p0.2_r3,3,600203,60,353,n=60;p=0.2,0.19943502824858758,11.766666666666667,19,8,0.201043589193744,tabu_search,6,0.02140477999637369,0,True
synthetic,erdos_renyi,ER_n60_p0.2_r3,3,600203,60,353,n=60;p=0.2,0.19943502824858758,11.766666666666667,19,8,0.201043589193744,structure_aware_hybrid,6,0.020721551991300657,0,True
synthetic,erdos_renyi,ER_n60_p0.4_r0,0,600400,60,698,n=60;p=0.4,0.3943502824858757,23.266666666666666,37,18,0.3938626488400683,greedy_welsh_powell,11,0.00014069100143387914,0,True
synthetic,erdos_renyi,ER_n60_p0.4_r0,0,600400,60,698,n=60;p=0.4,0.3943502824858757,23.266666666666666,37,18,0.3938626488400683,dsatur,10,0.0030393850029213354,0,True
synthetic,erdos_renyi,ER_n60_p0.4_r0,0,600400,60,698,n=60;p=0.4,0.3943502824858757,23.266666666666666,37,18,0.3938626488400683,tabu_search,10,0.04288314400764648,0,True
synthetic,erdos_renyi,ER_n60_p0.4_r0,0,600400,60,698,n=60;p=0.4,0.3943502824858757,23.266666666666666,37,18,0.3938626488400683,structure_aware_hybrid,10,0.04244499201013241,0,True
synthetic,erdos_renyi,ER_n60_p0.4_r1,1,600401,60,725,n=60;p=0.4,0.4096045197740113,24.166666666666668,34,19,0.41640369475464006,greedy_welsh_powell,12,0.0001354749983875081,0,True
synthetic,erdos_renyi,ER_n60_p0.4_r1,1,600401,60,725,n=60;p=0.4,0.4096045197740113,24.166666666666668,34,19,0.41640369475464006,dsatur,10,0.003213368996512145,0,True
synthetic,erdos_renyi,ER_n60_p0.4_r1,1,600401,60,725,n=60;p=0.4,0.4096045197740113,24.166666666666668,34,19,0.41640369475464006,tabu_search,10,0.046989351001684554,0,True
synthetic,erdos_renyi,ER_n60_p0.4_r1,1,600401,60,725,n=60;p=0.4,0.4096045197740113,24.166666666666668,34,19,0.41640369475464006,structure_aware_hybrid,10,0.046623583999462426,0,True
synthetic,erdos_renyi,ER_n60_p0.4_r2,2,600402,60,703,n=60;p=0.4,0.39717514124293785,23.433333333333334,30,18,0.39704948943387197,greedy_welsh_powell,10,0.000132760003907606,0,True
synthetic,erdos_renyi,ER_n60_p0.4_r2,2,600402,60,703,n=60;p=0.4,0.39717514124293785,23.433333333333334,30,18,0.39704948943387197,dsatur,9,0.0029692579992115498,0,True
synthetic,erdos_renyi,ER_n60_p0.4_r2,2,600402,60,703,n=60;p=0.4,0.39717514124293785,23.433333333333334,30,18,0.39704948943387197,tabu_search,9,0.0590378850029083,0,True
synthetic,erdos_renyi,ER_n60_p0.4_r2,2,600402,60,703,n=60;p=0.4,0.39717514124293785,23.433333333333334,30,18,0.39704948943387197,structure_aware_hybrid,9,0.05787279599462636,0,True
synthetic,erdos_renyi,ER_n60_p0.4_r3,3,600403,60,725,n=60;p=0.4,0.4096045197740113,24.166666666666668,31,18,0.4146847268635063,greedy_welsh_powell,11,0.0001419869950041175,0,True
synthetic,erdos_renyi,ER_n60_p0.4_r3,3,600403,60,725,n=60;p=0.4,0.4096045197740113,24.166666666666668,31,18,0.4146847268635063,dsatur,12,0.0031566950056003407,0,True
synthetic,erdos_renyi,ER_n60_p0.4_r3,3,600403,60,725,n=60;p=0.4,0.4096045197740113,24.166666666666668,31,18,0.4146847268635063,tabu_search,10,0.12111078499583527,0,True
synthetic,erdos_renyi,ER_n60_p0.4_r3,3,600403,60,725,n=60;p=0.4,0.4096045197740113,24.166666666666668,31,18,0.4146847268635063,structure_aware_hybrid,10,0.12262858300528023,0,True
synthetic,erdos_renyi,ER_n120_p0.05_r0,0,1200050,120,354,n=120;p=0.05,0.04957983193277311,5.9,13,4,0.03989787989787989,greedy_welsh_powell,5,0.00013348899665288627,0,True
synthetic,erdos_renyi,ER_n120_p0.05_r0,0,1200050,120,354,n=120;p=0.05,0.04957983193277311,5.9,13,4,0.03989787989787989,dsatur,5,0.005737296000006609,0,True
synthetic,erdos_renyi,ER_n120_p0.05_r0,0,1200050,120,354,n=120;p=0.05,0.04957983193277311,5.9,13,4,0.03989787989787989,tabu_search,4,0.04921369800285902,0,True
synthetic,erdos_renyi,ER_n120_p0.05_r0,0,1200050,120,354,n=120;p=0.05,0.04957983193277311,5.9,13,4,0.03989787989787989,structure_aware_hybrid,5,0.006801556999562308,0,True
synthetic,erdos_renyi,ER_n120_p0.05_r1,1,1200051,120,347,n=120;p=0.05,0.048599439775910365,5.783333333333333,13,4,0.06268305768305768,greedy_welsh_powell,4,0.00013020601181779057,0,True
synthetic,erdos_renyi,ER_n120_p0.05_r1,1,1200051,120,347,n=120;p=0.05,0.048599439775910365,5.783333333333333,13,4,0.06268305768305768,dsatur,4,0.005678943998645991,0,True
synthetic,erdos_renyi,ER_n120_p0.05_r1,1,1200051,120,347,n=120;p=0.05,0.048599439775910365,5.783333333333333,13,4,0.06268305768305768,tabu_search,4,0.03505499300081283,0,True
synthetic,erdos_renyi,ER_n120_p0.05_r1,1,1200051,120,347,n=120;p=0.05,0.048599439775910365,5.783333333333333,13,4,0.06268305768305768,structure_aware_hybrid,4,0.006764133999240585,0,True
synthetic,erdos_renyi,ER_n120_p0.05_r2,2,1200052,120,347,n=120;p=0.05,0.048599439775910365,5.783333333333333,14,4,0.04396099271099271,greedy_welsh_powell,5,0.00012712800526060164,0,True
synthetic,erdos_renyi,ER_n120_p0.05_r2,2,1200052,120,347,n=120;p=0.05,0.048599439775910365,5.783333333333333,14,4,0.04396099271099271,dsatur,5,0.006658633996266872,0,True
synthetic,erdos_renyi,ER_n120_p0.05_r2,2,1200052,120,347,n=120;p=0.05,0.048599439775910365,5.783333333333333,14,4,0.04396099271099271,tabu_search,4,0.05135513600544073,0,True
synthetic,erdos_renyi,ER_n120_p0.05_r2,2,1200052,120,347,n=120;p=0.05,0.048599439775910365,5.783333333333333,14,4,0.04396099271099271,structure_aware_hybrid,5,0.0060636829875875264,0,True
synthetic,erdos_renyi,ER_n120_p0.05_r3,3,1200053,120,346,n=120;p=0.05,0.0484593837535014,5.766666666666667,14,4,0.043951557701557696,greedy_welsh_powell,5,0.00013374999980442226,0,True
synthetic,erdos_renyi,ER_n120_p0.05_r3,3,1200053,120,346,n=120;p=0.05,0.0484593837535014,5.766666666666667,14,4,0.043951557701557696,dsatur,4,0.006863114002044313,0,True
synthetic,erdos_renyi,ER_n120_p0.05_r3,3,1200053,120,346,n=120;p=0.05,0.0484593837535014,5.766666666666667,14,4,0.043951557701557696,tabu_search,4,0.034896418001153506,0,True
synthetic,erdos_renyi,ER_n120_p0.05_r3,3,1200053,120,346,n=120;p=0.05,0.0484593837535014,5.766666666666667,14,4,0.043951557701557696,structure_aware_hybrid,4,0.005869091997737996,0,True
synthetic,erdos_renyi,ER_n120_p0.1_r0,0,1200100,120,713,n=120;p=0.1,0.09985994397759104,11.883333333333333,23,8,0.09769912704653248,greedy_welsh_powell,7,0.00020514200150500983,0,True
synthetic,erdos_renyi,ER_n120_p0.1_r0,0,1200100,120,713,n=120;p=0.1,0.09985994397759104,11.883333333333333,23,8,0.09769912704653248,dsatur,6,0.008238865004386753,0,True
synthetic,erdos_renyi,ER_n120_p0.1_r0,0,1200100,120,713,n=120;p=0.1,0.09985994397759104,11.883333333333333,23,8,0.09769912704653248,tabu_search,6,0.06547719400259666,0,True
synthetic,erdos_renyi,ER_n120_p0.1_r0,0,1200100,120,713,n=120;p=0.1,0.09985994397759104,11.883333333333333,23,8,0.09769912704653248,structure_aware_hybrid,6,0.009164484989014454,0,True
synthetic,erdos_renyi,ER_n120_p0.1_r1,1,1200101,120,757,n=120;p=0.1,0.10602240896358543,12.616666666666667,23,9,0.11445688517148336,greedy_welsh_powell,8,0.00017231699894182384,0,True
