dataset_type,family,algorithm,instances,mean_nodes,mean_density,mean_degeneracy,mean_colors,std_colors,mean_color_gap,mean_time_seconds,median_time_seconds,valid_rate
benchmark,dimacs_small,dsatur,5,36.0,0.3014717378191077,7.6,6.2,2.7748873851023217,0.0,0.0008726398024009134,0.0003781390114454,1.0
benchmark,dimacs_small,greedy_welsh_powell,5,36.0,0.3014717378191077,7.6,6.6,2.701851217221259,0.4,5.390140286180456e-05,4.364800406619906e-05,1.0
benchmark,dimacs_small,structure_aware_hybrid,5,36.0,0.3014717378191077,7.6,6.2,2.7748873851023217,0.0,0.006147238396806599,0.003222914005164,1.0
benchmark,dimacs_small,tabu_search,5,36.0,0.3014717378191077,7.6,6.2,2.7748873851023217,0.0,0.00863905240257732,0.0108226730080787,1.0
synthetic,barabasi_albert,dsatur,24,120.0,0.05932120873052265,3.0,4.0,1.0215078369104984,0.0,0.007051918294261325,0.00592909600527485,1.0
synthetic,barabasi_albert,greedy_welsh_powell,24,120.0,0.05932120873052265,3.0,4.666666666666667,1.049499535665604,0.6666666666666666,0.00012775500060035788,0.0001349330050288,1.0
synthetic,barabasi_albert,structure_aware_hybrid,24,120.0,0.05932120873052265,3.0,4.0,1.0215078369104984,0.0,0.007030978584225475,0.0059991489979438,1.0
synthetic,barabasi_albert,tabu_search,24,120.0,0.05932120873052265,3.0,4.0,1.0215078369104984,0.0,0.03515544408401178,0.03318856650002995,1.0
synthetic,erdos_renyi,dsatur,48,120.0,0.18903342420935587,17.083333333333332,9.145833333333334,5.66808753567345,0.14583333333333334,0.017078032584322448,0.01079842749459195,1.0
synthetic,erdos_renyi,greedy_welsh_powell,48,120.0,0.18903342420935587,17.083333333333332,10.291666666666666,6.280528278814841,1.2916666666666667,0.00028435712435259463,0.00021790500613855002,1.0
synthetic,erdos_renyi,structure_aware_hybrid,48,120.0,0.18903342420935587,17.083333333333332,9.0625,5.673402858955108,0.0625,0.20795994766740475,0.02376345700031375,1.0
synthetic,erdos_renyi,tabu_search,48,120.0,0.18903342420935587,17.083333333333332,9.0,5.72787138807235,0.0,0.22706192956259955,0.08179663200280626,1.0
synthetic,random_regular,dsatur,24,120.0,0.08250428284181768,8.0,5.125,0.9469631093315003,0.3333333333333333,0.00823630387700778,0.0072411314977216,1.0
synthetic,random_regular,greedy_welsh_powell,24,120.0,0.08250428284181768,8.0,6.083333333333333,1.017954755408103,1.2916666666666667,0.00013978375136499487,0.00013565299741455,1.0
synthetic,random_regular,structure_aware_hybrid,24,120.0,0.08250428284181768,8.0,5.125,0.9469631093315003,0.3333333333333333,0.008315646791136975,0.0071460694962297,1.0
synthetic,random_regular,tabu_search,24,120.0,0.08250428284181768,8.0,4.791666666666667,0.883627241233132,0.0,0.05007068879058348,0.0461995924997609,1.0
synthetic,watts_strogatz,dsatur,24,120.0,0.08250428284181768,5.708333333333333,5.625,0.8242255917447336,0.08333333333333333,0.007584057915058367,0.0067169469984946495,1.0
synthetic,watts_strogatz,greedy_welsh_powell,24,120.0,0.08250428284181768,5.708333333333333,6.375,0.8753881126826474,0.8333333333333334,0.0001575845435581536,0.00016401099856005,1.0
synthetic,watts_strogatz,structure_aware_hybrid,24,120.0,0.08250428284181768,5.708333333333333,5.625,0.8242255917447336,0.08333333333333333,0.007478119083922696,0.006244546500965949,1.0
synthetic,watts_strogatz,tabu_search,24,120.0,0.08250428284181768,5.708333333333333,5.541666666666667,0.7210600087592463,0.0,0.046667559918205336,0.041229228001611704,1.0
